onset	duration	Task
0	1.992	sync
1.992	2.009	sync
4.001	1.992	sync
5.993	5.006	sync
10.999	2.076	shape
14.012	2.076	shape
17.026	2.076	shape
20.039	2.076	shape
23.053	2.076	shape
26.066	2.076	shape
32.077	2.076	face
35.09	2.076	face
38.104	2.076	face
41.117	2.076	face
44.131	2.076	face
47.144	2.076	face
53.154	2.076	shape
56.168	2.076	shape
59.181	2.076	shape
62.195	2.076	shape
65.208	2.076	shape
68.222	2.076	shape
74.232	2.076	face
77.246	2.076	face
80.259	2.076	face
83.273	2.076	face
86.286	2.076	face
89.3	2.076	face
95.31	2.076	shape
98.323	2.076	shape
101.337	2.076	shape
104.35	2.076	shape
107.364	2.076	shape
110.377	2.076	shape
116.388	2.076	face
119.401	2.076	face
122.415	2.076	face
125.428	2.076	face
128.442	2.076	face
131.455	2.076	face
